log,seed,task,n_queries,value
BPI17,3,next_activity,171190,0.859127
BPI17,3,next_3_activities,499389,0.754402
BPI17,3,next_5_activities,808680,0.670943
BPI17,3,future_activity_set,175917,0.575802
BPI17,3,next_time,171190,0.579708
BPI17,3,remaining_time,175917,6.897218
BPI17,3,remaining_count,175917,15.107573
