log,seed,task,n_queries,value
helpdesk,3,next_activity,1283,0.776306
helpdesk,3,next_3_activities,2171,0.658222
helpdesk,3,next_5_activities,2219,0.643984
helpdesk,3,future_activity_set,1854,0.890617
helpdesk,3,next_time,1283,3.492324
helpdesk,3,remaining_time,1854,4.954137
helpdesk,3,remaining_count,1854,0.270766
