log,seed,task,n_queries,value
bpi13_incidents,3,next_activity,5443,0.687856
bpi13_incidents,3,next_3_activities,12931,0.492924
bpi13_incidents,3,next_5_activities,17346,0.424132
bpi13_incidents,3,future_activity_set,6577,0.706276
bpi13_incidents,3,next_time,5443,0.687646
bpi13_incidents,3,remaining_time,6577,3.133687
bpi13_incidents,3,remaining_count,6577,17.322487
