log,task,Rand.,PFM,PFM-RFT,PFM-FT,SuTraN,FM-v2 Proto,FM-v2 kNN
Helpdesk,next_activity,0.8376201589902242,0.7978695829709371,0.8363211154937744,0.8217718799908956,,,
Helpdesk,next_3_activities,0.8183632691701254,0.7957930366198221,0.817902664343516,0.817902664343516,,,
Helpdesk,next_5_activities,0.8173351287841797,0.7939011454582214,0.8116268515586853,0.8107255697250366,,,
Helpdesk,future_activity_set,0.8962285319964091,0.8829449613889059,0.8980201482772827,0.8997454444567362,,,
Helpdesk,next_time,3.51243265469869,3.494179089864095,3.5422306060791016,3.5031474431355796,,,
Helpdesk,remaining_time,5.118035316467285,4.998437404632568,5.003891309102376,4.9549150466918945,,,
Helpdesk,remaining_count,0.28595657149950665,0.29518069823582965,0.2999725143114726,0.2874222199122111,,,
BPI13,next_activity,0.6400171319643656,0.6775102615356445,0.6737119356791178,0.7097347378730774,0.6632969999999999,0.6726704835891724,0.668994665145874
BPI13,next_3_activities,0.5365614891052246,0.5756755471229553,0.5503300229708353,0.5843904614448547,0.4881136666666667,,
BPI13,next_5_activities,0.5303773085276285,0.5460992852846781,0.5400449633598328,0.5616675217946371,0.421899,,
BPI13,future_activity_set,0.8341695666313171,0.8340325156847636,0.8375807007153829,0.8296815752983093,0.7156750000000001,,
BPI13,next_time,0.6662743290265402,0.6469309329986572,0.642826775709788,0.6096747716267904,0.6881566666666666,,
BPI13,remaining_time,3.243260224660238,3.363980849583944,3.2977960109710693,3.2592649459838867,3.0949906666666664,22.245522176054575,22.240304483973915
BPI13,remaining_count,2.2589325110117593,2.1368265946706138,2.200538396835327,2.100452184677124,17.206824666666666,,
MIMIC,next_activity,0.4979242980480194,0.5949939092000326,0.6069597204526266,0.6189255317052206,,,
MIMIC,next_3_activities,0.5346801280975342,0.5804152687390646,0.596745232741038,0.6004489262898763,,,
MIMIC,next_5_activities,0.5352819760640463,0.5656923453013102,0.5797165632247925,0.5843421022097269,,,
MIMIC,future_activity_set,0.7707687815030416,0.8212457497914633,0.8217517137527466,0.8246567646662394,,,
MIMIC,next_time,1.1642850637435913,1.0690092245737712,1.0286837418874104,1.0201551914215088,,,
MIMIC,remaining_time,2.9218475818634033,2.4430603981018066,2.398678700129191,2.3137640953063965,,,
MIMIC,remaining_count,0.7359987497329712,0.5581823984781901,0.4820172190666199,0.4749443133672078,,,
BPI20ID,next_activity,0.6968934535980225,0.7522823214530945,0.8507048487663269,0.8754475911458334,,,
BPI20ID,next_3_activities,0.6009728908538818,0.6429020563761393,0.7576318383216858,0.7955270806948344,,,
BPI20ID,next_5_activities,0.5466158390045166,0.5792941848436991,0.6911595265070597,0.7337223688761393,,,
BPI20ID,future_activity_set,0.8168346484502157,0.8557847340901693,0.9013883670171102,0.9036581714948019,,,
BPI20ID,next_time,3.7586282889048257,3.819022258122762,3.623171329498291,3.722916920979818,,,
BPI20ID,remaining_time,15.323506355285645,12.267420450846354,12.67338752746582,13.54344622294108,,,
BPI20ID,remaining_count,1.3998508056004841,1.2228957017262776,1.1283514897028606,0.9678584734598795,,,
BPI17,next_activity,0.7539041837056478,0.7955472668011984,0.8715911308924357,0.8865721225738525,0.8553479999999999,0.8726109862327576,0.8695648908615112
BPI17,next_3_activities,0.6823365290959676,0.7061688899993896,0.7751713991165161,0.7928219040234884,0.7541843333333332,,
BPI17,next_5_activities,0.6191614866256714,0.6497326095898946,0.7115362286567688,0.7295058965682983,0.6712199999999999,,
BPI17,future_activity_set,0.7432629267374674,0.7682051261266073,0.7819942235946655,0.7973292072614034,0.5273736666666666,,
BPI17,next_time,0.5224713683128357,0.5821461876233419,0.49977866808573407,0.4426422317822774,0.6126036666666667,,
BPI17,remaining_time,7.234150568644206,7.211586634318034,6.891761144002278,6.794061183929443,6.961384666666667,6.855199727757867,6.8227279928508535
BPI17,remaining_count,8.717703183492025,8.14975674947103,8.12646516164144,8.050910949707031,21.05315166666667,,
