task,k,log,eval_seed,value
future_activity_set,6,mimic_transfer,1,0.8120421767234802
future_activity_set,6,mimic_transfer,2,0.8125
future_activity_set,7,BPI17,0,0.7726289629936218
future_activity_set,7,BPI17,1,0.7669685482978821
future_activity_set,7,BPI17,2,0.7735278010368347
future_activity_set,7,BPI20ID,0,0.8581570982933044
future_activity_set,7,BPI20ID,1,0.8594443798065186
future_activity_set,7,BPI20ID,2,0.8550527691841125
future_activity_set,7,bpi13_incidents,0,0.8257978558540344
future_activity_set,7,bpi13_incidents,1,0.8361189961433411
future_activity_set,7,bpi13_incidents,2,0.8369556069374084
future_activity_set,7,helpdesk,0,0.8745039701461792
future_activity_set,7,helpdesk,1,0.8761193752288818
future_activity_set,7,helpdesk,2,0.8743793368339539
future_activity_set,7,mimic_transfer,0,0.8180042505264282
future_activity_set,7,mimic_transfer,1,0.8181253671646118
future_activity_set,7,mimic_transfer,2,0.8178590536117554
future_activity_set,8,BPI17,0,0.7726905941963196
future_activity_set,8,BPI17,1,0.7687540054321289
future_activity_set,8,BPI17,2,0.7695872187614441
future_activity_set,8,BPI20ID,0,0.8687106370925903
future_activity_set,8,BPI20ID,1,0.8665416836738586
future_activity_set,8,BPI20ID,2,0.8615415096282959
future_activity_set,8,bpi13_incidents,0,0.8312880992889404
future_activity_set,8,bpi13_incidents,1,0.836100697517395
future_activity_set,8,bpi13_incidents,2,0.8307293653488159
future_activity_set,8,helpdesk,0,0.8879396915435791
future_activity_set,8,helpdesk,1,0.8811955451965332
future_activity_set,8,helpdesk,2,0.8837790489196777
future_activity_set,8,mimic_transfer,0,0.8131124377250671
future_activity_set,8,mimic_transfer,1,0.8125
future_activity_set,8,mimic_transfer,2,0.8127227425575256
future_activity_set,9,BPI17,0,0.7658237218856812
future_activity_set,9,BPI17,1,0.7650712132453918
future_activity_set,9,BPI17,2,0.7668294310569763
future_activity_set,9,BPI20ID,0,0.8793871998786926
future_activity_set,9,BPI20ID,1,0.8786593079566956
future_activity_set,9,BPI20ID,2,0.8760859966278076
future_activity_set,9,bpi13_incidents,0,0.8303756713867188
future_activity_set,9,bpi13_incidents,1,0.8306759595870972
future_activity_set,9,bpi13_incidents,2,0.8292984962463379
future_activity_set,9,helpdesk,0,0.8781939744949341
future_activity_set,9,helpdesk,1,0.8777585029602051
future_activity_set,9,helpdesk,2,0.8808521032333374
future_activity_set,9,mimic_transfer,0,0.8182705044746399
future_activity_set,9,mimic_transfer,1,0.8175286054611206
future_activity_set,9,mimic_transfer,2,0.8180285692214966
future_activity_set,10,BPI17,0,0.7671474814414978
future_activity_set,10,BPI17,1,0.7631742358207703
future_activity_set,10,BPI17,2,0.7655928134918213
future_activity_set,10,BPI20ID,0,0.8480151891708374
future_activity_set,10,BPI20ID,1,0.8493120670318604
future_activity_set,10,BPI20ID,2,0.8455271124839783
future_activity_set,10,bpi13_incidents,0,0.8346777558326721
future_activity_set,10,bpi13_incidents,1,0.8358596563339233
future_activity_set,10,bpi13_incidents,2,0.8350977301597595
future_activity_set,10,helpdesk,0,0.8800198435783386
future_activity_set,10,helpdesk,1,0.8808161020278931
future_activity_set,10,helpdesk,2,0.8850574493408203
future_activity_set,10,mimic_transfer,0,0.8151776790618896
future_activity_set,10,mimic_transfer,1,0.8150324821472168
future_activity_set,10,mimic_transfer,2,0.8155668377876282
future_activity_set,11,BPI17,0,0.7690226435661316
future_activity_set,11,BPI17,1,0.7675961852073669
future_activity_set,11,BPI17,2,0.7674223184585571
future_activity_set,11,BPI20ID,0,0.8580574989318848
future_activity_set,11,BPI20ID,1,0.85224449634552
future_activity_set,11,BPI20ID,2,0.8497185707092285
future_activity_set,11,bpi13_incidents,0,0.8290417194366455
future_activity_set,11,bpi13_incidents,1,0.8246854543685913
future_activity_set,11,bpi13_incidents,2,0.8306268453598022
future_activity_set,11,helpdesk,0,0.8761388659477234
future_activity_set,11,helpdesk,1,0.8766313791275024
future_activity_set,11,helpdesk,2,0.875923216342926
future_activity_set,11,mimic_transfer,0,0.8157120943069458
future_activity_set,11,mimic_transfer,1,0.8153887391090393
future_activity_set,11,mimic_transfer,2,0.8161594867706299
future_activity_set,12,BPI17,0,0.767611563205719
future_activity_set,12,BPI17,1,0.7654989957809448
future_activity_set,12,BPI17,2,0.7662741541862488
future_activity_set,12,BPI20ID,0,0.8608148694038391
future_activity_set,12,BPI20ID,1,0.8598175048828125
future_activity_set,12,BPI20ID,2,0.8604933619499207
future_activity_set,12,bpi13_incidents,0,0.8298912048339844
future_activity_set,12,bpi13_incidents,1,0.8305400609970093
future_activity_set,12,bpi13_incidents,2,0.8299258351325989
future_activity_set,12,helpdesk,0,0.8701617121696472
future_activity_set,12,helpdesk,1,0.8777227997779846
future_activity_set,12,helpdesk,2,0.8802781701087952
future_activity_set,12,mimic_transfer,0,0.8190222382545471
future_activity_set,12,mimic_transfer,1,0.8188682794570923
future_activity_set,12,mimic_transfer,2,0.8186261653900146
future_activity_set,13,BPI17,0,0.7739405035972595
future_activity_set,13,BPI17,1,0.7731582522392273
future_activity_set,13,BPI17,2,0.7768443822860718
future_activity_set,13,BPI20ID,0,0.8555639982223511
future_activity_set,13,BPI20ID,1,0.8549988269805908
future_activity_set,13,BPI20ID,2,0.8554238677024841
future_activity_set,13,bpi13_incidents,0,0.8315803408622742
future_activity_set,13,bpi13_incidents,1,0.8332479596138
future_activity_set,13,bpi13_incidents,2,0.8324449062347412
future_activity_set,13,helpdesk,0,0.8934447169303894
future_activity_set,13,helpdesk,1,0.8935630917549133
future_activity_set,13,helpdesk,2,0.8858218193054199
future_activity_set,13,mimic_transfer,0,0.8169114589691162
future_activity_set,13,mimic_transfer,1,0.8174052238464355
future_activity_set,13,mimic_transfer,2,0.8177777528762817
future_activity_set,14,BPI17,0,0.7785572409629822
future_activity_set,14,BPI17,1,0.778481125831604
future_activity_set,14,BPI17,2,0.778525173664093
future_activity_set,14,BPI20ID,0,0.8296002745628357
future_activity_set,14,BPI20ID,1,0.8432124257087708
future_activity_set,14,BPI20ID,2,0.8416785597801208
