log,arm,task,n_labels,n_train_samples,seed,value,run
BPI17,pfm,remaining_time,300,300,2,8.603287696838379,2026-09-11T15:43:01
BPI17,pfm,remaining_time,5000,5000,0,7.979772090911865,2026-09-11T15:30:36
BPI17,pfm,remaining_time,5000,5000,1,7.812577724456787,2026-09-11T15:32:00
BPI17,pfm,remaining_time,5000,5000,2,7.887062072753906,2026-09-11T15:43:01
BPI17,pfm,remaining_time,all,20446,0,7.785664081573486,2026-09-11T15:30:36
BPI17,pfm,remaining_time,all,20446,1,7.809636116027832,2026-09-11T15:32:00
BPI17,pfm,remaining_time,all,20446,2,7.780826568603516,2026-09-11T15:43:01
BPI17,pfm_ft,next_time,0,0,0,0.6017482876777649,2026-09-11T16:29:02
BPI17,pfm_ft,next_time,0,0,1,0.6017481684684753,2026-09-11T16:09:05
BPI17,pfm_ft,next_time,0,0,2,0.6017482876777649,2026-09-11T16:09:32
BPI17,pfm_ft,next_time,10,10,0,0.47026240825653076,2026-09-11T16:29:02
BPI17,pfm_ft,next_time,10,10,1,0.5679779648780823,2026-09-11T16:09:05
BPI17,pfm_ft,next_time,10,10,2,0.5197896361351013,2026-09-11T16:09:32
BPI17,pfm_ft,next_time,100,100,0,0.5168954133987427,2026-09-11T16:29:02
BPI17,pfm_ft,next_time,100,100,1,0.48148003220558167,2026-09-11T16:09:05
BPI17,pfm_ft,next_time,100,100,2,0.49569955468177795,2026-09-11T16:09:32
BPI17,pfm_ft,next_time,1000,1000,0,0.4284372329711914,2026-09-11T16:29:02
BPI17,pfm_ft,next_time,1000,1000,1,0.4819742441177368,2026-09-11T16:09:05
BPI17,pfm_ft,next_time,1000,1000,2,0.47487229108810425,2026-09-11T16:09:32
BPI17,pfm_ft,next_time,30,30,0,0.47605106234550476,2026-09-11T16:29:02
BPI17,pfm_ft,next_time,30,30,1,0.48707717657089233,2026-09-11T16:09:05
BPI17,pfm_ft,next_time,30,30,2,0.5585536956787109,2026-09-11T16:09:32
BPI17,pfm_ft,next_time,300,300,0,0.48220697045326233,2026-09-11T16:29:02
BPI17,pfm_ft,next_time,300,300,1,0.4735422730445862,2026-09-11T16:09:05
BPI17,pfm_ft,next_time,300,300,2,0.4906200170516968,2026-09-11T16:09:32
BPI17,pfm_ft,next_time,5000,5000,0,0.41668233275413513,2026-09-11T16:29:02
BPI17,pfm_ft,next_time,5000,5000,1,0.4797571897506714,2026-09-11T16:09:05
BPI17,pfm_ft,next_time,5000,5000,2,0.44811034202575684,2026-09-11T16:09:32
BPI17,pfm_ft,next_time,all,20446,0,0.45965155959129333,2026-09-11T16:29:02
BPI17,pfm_ft,next_time,all,20446,1,0.40931397676467896,2026-09-11T16:09:05
BPI17,pfm_ft,next_time,all,20446,2,0.4363299012184143,2026-09-11T16:09:32
BPI17,pfm_ft,remaining_count,0,0,0,18.780920028686523,2026-09-11T16:29:02
BPI17,pfm_ft,remaining_count,0,0,1,19.50352668762207,2026-09-11T16:09:05
BPI17,pfm_ft,remaining_count,0,0,2,19.190332412719727,2026-09-11T16:09:32
BPI17,pfm_ft,remaining_count,10,10,0,9.969703674316406,2026-09-11T16:29:02
BPI17,pfm_ft,remaining_count,10,10,1,9.576488494873047,2026-09-11T16:09:05
BPI17,pfm_ft,remaining_count,10,10,2,9.834842681884766,2026-09-11T16:09:32
BPI17,pfm_ft,remaining_count,100,100,0,8.896638870239258,2026-09-11T16:29:02
BPI17,pfm_ft,remaining_count,100,100,1,9.043330192565918,2026-09-11T16:09:05
BPI17,pfm_ft,remaining_count,100,100,2,9.193523406982422,2026-09-11T16:09:32
BPI17,pfm_ft,remaining_count,1000,1000,0,8.123106956481934,2026-09-11T16:29:02
BPI17,pfm_ft,remaining_count,1000,1000,1,8.126056671142578,2026-09-11T16:09:05
BPI17,pfm_ft,remaining_count,1000,1000,2,8.122425079345703,2026-09-11T16:09:32
BPI17,pfm_ft,remaining_count,30,30,0,9.107406616210938,2026-09-11T16:29:02
BPI17,pfm_ft,remaining_count,30,30,1,9.139503479003906,2026-09-11T16:09:05
BPI17,pfm_ft,remaining_count,30,30,2,8.752381324768066,2026-09-11T16:09:32
BPI17,pfm_ft,remaining_count,300,300,0,8.189981460571289,2026-09-11T16:29:02
BPI17,pfm_ft,remaining_count,300,300,1,8.287373542785645,2026-09-11T16:09:05
BPI17,pfm_ft,remaining_count,300,300,2,8.170495986938477,2026-09-11T16:09:32
BPI17,pfm_ft,remaining_count,5000,5000,0,8.04541015625,2026-09-11T16:29:02
BPI17,pfm_ft,remaining_count,5000,5000,1,8.070316314697266,2026-09-11T16:09:05
BPI17,pfm_ft,remaining_count,5000,5000,2,8.022770881652832,2026-09-11T16:09:32
BPI17,pfm_ft,remaining_count,all,20446,0,7.99104118347168,2026-09-11T16:29:02
BPI17,pfm_ft,remaining_count,all,20446,1,8.096187591552734,2026-09-11T16:09:05
BPI17,pfm_ft,remaining_count,all,20446,2,8.010464668273926,2026-09-11T16:09:32
BPI17,pfm_ft,remaining_time,0,0,0,12.445624351501465,2026-09-11T16:29:02
BPI17,pfm_ft,remaining_time,0,0,1,12.445629119873047,2026-09-11T16:09:05
BPI17,pfm_ft,remaining_time,0,0,2,12.445629119873047,2026-09-11T16:09:32
BPI17,pfm_ft,remaining_time,10,10,0,7.1664276123046875,2026-09-11T16:29:02
BPI17,pfm_ft,remaining_time,10,10,1,7.16764497756958,2026-09-11T16:09:05
BPI17,pfm_ft,remaining_time,10,10,2,6.961717128753662,2026-09-11T16:09:32
BPI17,pfm_ft,remaining_time,100,100,0,7.245723247528076,2026-09-11T16:29:02
BPI17,pfm_ft,remaining_time,100,100,1,7.298981189727783,2026-09-11T16:09:05
BPI17,pfm_ft,remaining_time,100,100,2,6.8981032371521,2026-09-11T16:09:32
BPI17,pfm_ft,remaining_time,1000,1000,0,6.999334812164307,2026-09-11T16:29:02
BPI17,pfm_ft,remaining_time,1000,1000,1,6.736993312835693,2026-09-11T16:09:05
BPI17,pfm_ft,remaining_time,1000,1000,2,6.989416122436523,2026-09-11T16:09:32
BPI17,pfm_ft,remaining_time,30,30,0,7.270434379577637,2026-09-11T16:29:02
BPI17,pfm_ft,remaining_time,30,30,1,7.239737033843994,2026-09-11T16:09:05
BPI17,pfm_ft,remaining_time,30,30,2,6.9713287353515625,2026-09-11T16:09:32
BPI17,pfm_ft,remaining_time,300,300,0,6.888507843017578,2026-09-11T16:29:02
BPI17,pfm_ft,remaining_time,300,300,1,7.072917461395264,2026-09-11T16:09:05
BPI17,pfm_ft,remaining_time,300,300,2,7.160834789276123,2026-09-11T16:09:32
BPI17,pfm_ft,remaining_time,5000,5000,0,6.737076282501221,2026-09-11T16:29:02
BPI17,pfm_ft,remaining_time,5000,5000,1,6.763136386871338,2026-09-11T16:09:05
BPI17,pfm_ft,remaining_time,5000,5000,2,6.815290451049805,2026-09-11T16:09:32
BPI17,pfm_ft,remaining_time,all,20446,0,6.707051753997803,2026-09-11T16:29:02
BPI17,pfm_ft,remaining_time,all,20446,1,6.766232490539551,2026-09-11T16:09:05
BPI17,pfm_ft,remaining_time,all,20446,2,6.899391174316406,2026-09-11T16:09:32
BPI17,random_role,next_time,0,0,0,0.5920184850692749,2026-09-11T15:28:44
BPI17,random_role,next_time,0,0,1,0.5920193791389465,2026-09-11T15:44:30
BPI17,random_role,next_time,0,0,2,0.5920190215110779,2026-09-11T15:43:56
BPI17,random_role,next_time,10,10,0,0.5920112133026123,2026-09-11T15:28:44
BPI17,random_role,next_time,10,10,1,0.5920109748840332,2026-09-11T15:44:30
BPI17,random_role,next_time,10,10,2,0.5920122861862183,2026-09-11T15:43:56
BPI17,random_role,next_time,100,100,0,0.5920121669769287,2026-09-11T15:28:44
BPI17,random_role,next_time,100,100,1,0.5920187830924988,2026-09-11T15:44:30
BPI17,random_role,next_time,100,100,2,0.5920127034187317,2026-09-11T15:43:56
BPI17,random_role,next_time,1000,1000,0,0.591975212097168,2026-09-11T15:28:44
BPI17,random_role,next_time,1000,1000,1,0.5919795632362366,2026-09-11T15:44:30
BPI17,random_role,next_time,1000,1000,2,0.5919906497001648,2026-09-11T15:43:56
BPI17,random_role,next_time,30,30,0,0.5920177102088928,2026-09-11T15:28:44
BPI17,random_role,next_time,30,30,1,0.5920118689537048,2026-09-11T15:44:30
BPI17,random_role,next_time,30,30,2,0.5920120477676392,2026-09-11T15:43:56
BPI17,random_role,next_time,300,300,0,0.59199458360672,2026-09-11T15:28:44
BPI17,random_role,next_time,300,300,1,0.592009425163269,2026-09-11T15:44:30
BPI17,random_role,next_time,300,300,2,0.5920060873031616,2026-09-11T15:43:56
