task,metric,unit,higher_is_better,k,mu,seedwise_sd,between_log_sd,scale_mixing,delta_mean,delta_ci_low,delta_ci_high,delta_excludes_zero,delta_bpi13_incidents,delta_BPI17,delta_BPI20ID,delta_helpdesk,delta_mimic_transfer,value_bpi13_incidents,value_BPI17,value_BPI20ID,value_helpdesk,value_mimic_transfer,n_logs,n_eval_seeds
next_3_activities,acc,accuracy,True,0,0.6261412461598714,0.002412001343008473,0.09019476823827426,False,-0.028607519467671705,-0.05714836930361564,-6.666963172777263e-05,True,-0.0321008563041687,-0.010521173477172852,-0.059642891089121464,-0.001996020476023319,-0.03877665599187219,0.533158004283905,0.7036311626434326,0.6103814244270325,0.734377384185791,0.5491582552591959,5,3
next_3_activities,acc,accuracy,True,1,0.6330771446228027,0.0015389600782529929,0.0758127578862022,False,-0.021671621004740384,-0.050840972685214716,0.0074977306757339525,False,0.002191642920176151,-0.00030863285064697266,-0.054742832978566414,-0.025026877721150642,-0.030471404393514034,0.5674505035082499,0.7138437032699585,0.6152814825375875,0.7113465269406637,0.5574635068575541,5,3
next_3_activities,acc,accuracy,True,2,0.6498375455538432,0.002635256276420214,0.08005489596295028,False,-0.004911220073699929,-0.015549007231166468,0.00572656708376661,False,-0.003377656141916874,0.008168657620747921,-0.010262787342071533,-0.004606187343597412,-0.014478127161661747,0.5618812044461569,0.7223209937413534,0.6597615281740824,0.7317672173182169,0.5734567840894064,5,3
next_3_activities,acc,accuracy,True,3,0.6565233866373699,0.0023173706439758683,0.08491031547474553,False,0.0017746210098266602,-0.019736330844380083,0.023285572864033405,False,-0.00536302725474036,0.03264139095942176,-0.008352617422739628,-0.003992021083831787,-0.006060620148976681,0.5598958333333334,0.7467937270800272,0.6616716980934143,0.7323813835779825,0.5818742911020914,5,3
next_3_activities,acc,accuracy,True,4,0.6567367394765218,0.002206463668024675,0.09297675565153869,False,0.0019879738489786856,-0.027801242802010233,0.031777190499967606,False,-0.014000614484151241,0.01851002375284827,-0.026529033978780037,0.03285737832387292,-0.0008978843688964844,0.5512582461039225,0.7326623598734537,0.6434952815373739,0.7692307829856873,0.5870370268821716,5,3
next_3_activities,acc,accuracy,True,5,0.6497448563575745,0.0006652826285243887,0.08981239602596247,False,-0.005003909269968654,-0.0404240497245175,0.030416231184580193,False,-0.009050130844116211,0.020013848940531376,-0.05028178294499708,0.018731772899627686,-0.004433254400889042,0.5562087297439575,0.7341661850611368,0.6197425325711569,0.755105177561442,0.5835016568501791,5,3
next_3_activities,acc,accuracy,True,6,0.6498775362968445,0.0031975909184957137,0.10325041921338904,False,-0.004871229330698635,-0.058982108501031666,0.0492396498396344,False,-0.005827128887176514,0.015189190705617306,-0.06548021237055457,0.052356839179992676,-0.02059483528137207,0.5594317317008972,0.7293415268262228,0.6045441031455994,0.788730243841807,0.567340075969696,5,3
next_3_activities,acc,accuracy,True,7,0.6608583172162373,0.0021250257864127106,0.10162225655775131,False,0.006109551588694284,-0.03466975780642438,0.04688886098381295,False,-0.011267542839050293,0.016554077466328976,-0.023906966050465828,0.05865192413330078,-0.009483734766642216,0.5539913177490234,0.7307064135869344,0.6461173494656881,0.7950253287951151,0.5784511764844259,5,3
next_3_activities,acc,accuracy,True,8,0.6611669659614563,0.000192788391800836,0.09304456651594999,False,0.0064182003339131825,-0.016853044419000353,0.02968944508682672,False,-0.015496095021565792,0.013428449630737305,0.001898328463236565,0.03439275423685717,-0.002132435639699337,0.5497627655665079,0.7275807857513428,0.6719226439793905,0.7707661588986715,0.5858024756113688,5,3
next_3_activities,acc,accuracy,True,9,0.6590298056602478,0.003729190525449401,0.08661316239147444,False,0.004281040032704686,-0.014902298631696877,0.02346437869710625,False,-0.015857040882110596,0.0006712675094604492,0.024512072404225704,0.013818522294362423,-0.0017396211624145508,0.5494018197059631,0.7148236036300659,0.6945363879203796,0.7501919269561768,0.5861952900886536,5,3
next_3_activities,acc,accuracy,True,10,0.6499758680661519,0.0052982563743191454,0.08568512921980458,False,-0.004772897561391187,-0.029704571422086393,0.020158776299304022,False,-0.011319100856781006,0.003721296787261963,-0.03450196981430054,0.019806543986002678,-0.0015712579091390344,0.5539397597312927,0.7178736329078674,0.6355223457018534,0.756179948647817,0.5863636533419291,5,3
next_3_activities,acc,accuracy,True,11,0.6635114789009094,0.0048873019932205875,0.09437433247075117,False,0.008762713273366307,-0.015091629417641545,0.032617055964374156,False,-0.013768553733825684,0.01683264970779419,0.010654350121816036,0.035313983758290646,-0.005218863487243652,0.551490306854248,0.7309849858283997,0.68067866563797,0.771687388420105,0.5827160477638245,5,3
next_3_activities,acc,accuracy,True,12,0.665989343325297,0.0026506841070681963,0.09712330682230369,False,0.011240577697753907,-0.017178238747619597,0.039659394143127406,False,-0.011138617992401123,0.024262110392252567,0.0021593570709228516,0.044679880142211914,-0.0037598411242166785,0.5541202425956726,0.738414446512858,0.6721836725870768,0.7810532848040262,0.5841750701268514,5,3
next_3_activities,acc,accuracy,True,13,0.659716518719991,0.005826326665988858,0.08758837519079911,False,0.004967753092447924,-0.01075163962001678,0.020687145804912627,False,-0.010055700937906864,0.008587618668874142,0.005018711090087891,0.02364504337310791,-0.0023569067319234582,0.5552031596501669,0.7227399547894796,0.6750430266062418,0.7600184480349222,0.5855780045191447,5,3
next_3_activities,acc,accuracy,True,14,0.6525311589241027,0.008917549967956621,0.0849436814210398,False,-0.0022176067034403333,-0.02222419348332885,0.01778898007644818,False,-0.018048683802286747,0.016207655270894405,-0.020312011241912842,0.006295104821523068,0.004769901434580448,0.547210176785787,0.7303599913914999,0.6497123042742411,0.7426685094833374,0.5927048126856486,5,3
next_3_activities,acc,accuracy,True,15,0.6547487656275431,0.005889314329340973,0.07565917417903263,False,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.5652588605880737,0.7141523361206055,0.6700243155161539,0.7363734046618143,0.5879349112510681,5,3
next_5_activities,acc,accuracy,True,0,0.6055306553840637,0.005097505941487076,0.09540642447100599,False,-0.020412242412567096,-0.04471519202281454,0.0038907071976803514,False,-0.02708103259404493,-0.005253156026204464,-0.04191182057062781,0.004957179228464836,-0.0327723821004231,0.5166734059651693,0.6535041729609171,0.5678932865460714,0.748986025651296,0.5405963857968649,5,3
next_5_activities,acc,accuracy,True,1,0.6088119268417358,0.0031503532707391852,0.07691176264722603,False,-0.017130970954894974,-0.037198069156427406,0.002936127246637457,False,0.0011147658030192797,-0.0007744828859964636,-0.03404392798741662,-0.024936159451802498,-0.027015050252278572,0.5448692043622335,0.6579828461011251,0.5757611791292826,0.7190926869710287,0.5463537176450094,5,3
next_5_activities,acc,accuracy,True,2,0.6205473065376281,0.0024172919717287814,0.07671989434218304,False,-0.005395591259002641,-0.019589001552668576,0.008797819034663291,False,-0.004497488339741951,0.011497537295023563,-0.0031837026278177527,-0.019378085931142097,-0.011416216691334968,0.5392569502194723,0.6702548662821451,0.6066214044888815,0.7246507604916891,0.561952551205953,5,3
next_5_activities,acc,accuracy,True,3,0.6265471895535787,0.005246972277316281,0.08080598856092817,False,0.0006042917569478501,-0.019974905056636412,0.021183488570532115,False,-0.007072965304056766,0.028458336989084843,0.001762529214223263,-0.014270702997843387,-0.005855739116668701,0.5366814732551575,0.6872156659762064,0.6115676363309225,0.7297581434249878,0.5675130287806193,5,3
next_5_activities,acc,accuracy,True,4,0.6190673669179281,0.008455052337135215,0.08709725345948598,False,-0.0068755308787027845,-0.030119950269495502,0.01636888851208993,False,-0.011608898639678955,0.01491435368855798,-0.035758813222249386,-0.00030042727788281987,-0.0016238689422607422,0.5321455399195353,0.6736716826756796,0.5740462938944498,0.7437284191449484,0.5717448989550272,5,3
next_5_activities,acc,accuracy,True,5,0.6149985313415527,0.0033512819858204537,0.09182359330498206,False,-0.01094436645507808,-0.04768704922541035,0.025798316315254196,False,-0.0082453886667887,0.015414257844289181,-0.061450521151224735,0.0030043522516887133,-0.003444532553354862,0.5355090498924255,0.6741715868314108,0.5483545859654745,0.7470331986745199,0.5699242353439331,5,3
next_5_activities,acc,accuracy,True,6,0.6192159454027811,0.005266203840977949,0.10868526711144241,False,-0.006726952393849661,-0.0567614626792062,0.04330755789150687,False,-0.0046128034591674805,0.010492463906606075,-0.06552340586980188,0.04431424538294482,-0.01830526192982984,0.5391416351000468,0.6692497928937277,0.5442817012468973,0.788343091805776,0.5550635059674581,5,3
next_5_activities,acc,accuracy,True,7,0.6230872114499411,0.007540286178219974,0.0894859180032979,False,-0.0028556863466898453,-0.020404253755831315,0.014692881062451623,False,-0.009802242120106941,0.014096895853678348,-0.019086182117462158,0.009764154752095577,-0.009251058101654053,0.5339521964391073,0.6728542248407999,0.5907189249992371,0.7537930011749268,0.5641177097956339,5,3
next_5_activities,acc,accuracy,True,8,0.6313438574473064,0.0031258492152023,0.09207103330978575,False,0.005400959650675485,-0.011873832250237446,0.022675751551588418,False,-0.012608329455057743,0.009099682172139523,0.00987652937571204,0.02388463417689013,-0.0032477180163065222,0.5311461091041565,0.6678570111592611,0.6196816364924113,0.7679134805997213,0.5701210498809814,5,3
next_5_activities,acc,accuracy,True,9,0.6288243770599365,0.0007713465481085206,0.08754650840451278,False,0.0028814792633056864,-0.01292539453165617,0.01868835305826754,False,-0.013665437698364258,0.0014615456263223914,0.017927010854085323,0.012768526871999142,-0.0040842493375141675,0.53008900086085,0.660218874613444,0.6277321179707845,0.7567973732948303,0.5692845185597738,5,3
next_5_activities,acc,accuracy,True,10,0.6256424784660339,0.005813213169832023,0.09347897555480983,False,-0.0003004193305969238,-0.022084076343974673,0.021483237682780824,False,-0.00670778751373291,0.0018607179323831824,-0.019721349080403683,0.027790268262227413,-0.004723946253458622,0.5370466510454813,0.6606180469195048,0.5900837580362955,0.7718191146850586,0.5686448216438293,5,3
next_5_activities,acc,accuracy,True,11,0.6330858985582988,0.005416831936845637,0.09563947489652976,False,0.007143000761667895,-0.014241228808507454,0.028527230331843244,False,-0.013165732224782234,0.011857569217681885,0.010051170984903934,0.03169596195220947,-0.004723966121673584,0.530588706334432,0.6706148982048035,0.6198562781016032,0.7757248083750407,0.5686448017756144,5,3
next_5_activities,acc,accuracy,True,12,0.6373711268107096,0.002724021902329437,0.0964186616930064,False,0.011428229014078806,-0.01057877277634815,0.033435230804505764,False,-0.006227294603983524,0.020684142907460568,0.007844050725301144,0.037103792031606075,-0.0022635459899902344,0.5375271439552307,0.6794414718945821,0.6176491578420004,0.7811326384544373,0.5711052219072977,5,3
next_5_activities,acc,accuracy,True,13,0.6313709219296773,0.007904100377191381,0.09190445919839356,False,0.005428024133046483,-0.011467672816568797,0.022323721082661764,False,-0.010359605153401619,0.005897263685862186,0.007629692554473877,0.026137908299764034,-0.0021651387214660645,0.5333948334058126,0.6646545926729838,0.6174347996711731,0.7701667547225952,0.5712036291758219,5,3
next_5_activities,acc,accuracy,True,14,0.6241762677828471,0.005933099605774748,0.09269716774524035,False,-0.0017666300137837432,-0.02432955007028192,0.020796290042714435,False,-0.018412808577219608,0.010409394900004032,-0.023333768049875858,0.018026133378346798,0.00447789827982592,0.5253416299819946,0.6691667238871256,0.5864713390668234,0.762054979801178,0.5778466661771139,5,3
next_5_activities,acc,accuracy,True,15,0.6259428977966308,0.0034391045640413146,0.07874085409085273,False,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.5437544385592142,0.6587573289871216,0.6098051071166992,0.7440288464228312,0.573368767897288,5,3
future_activity_set,micro_f1,micro-F1,True,0,0.8108688235282898,0.0008001020537734938,0.04406532621737779,False,-0.021315081914265965,-0.04400269415998312,0.0013725303314511897,False,-0.04470735788345337,-0.00960673888524377,-0.013217926025390625,-0.0024981300036112097,-0.03654525677363085,0.7946090300877889,0.7636217276255289,0.8368311524391174,0.8737517793973287,0.7855304280916849,5,3
