k,log,eval_seed,accuracy
10,helpdesk,2,0.7716289758682251
10,mimic_transfer,0,0.5919414162635803
10,mimic_transfer,1,0.5981684923171997
10,mimic_transfer,2,0.6025640964508057
11,BPI17,0,0.8256328105926514
11,BPI17,1,0.8262056112289429
11,BPI17,2,0.826084315776825
11,BPI20ID,0,0.7629923820495605
11,BPI20ID,1,0.7578631639480591
11,BPI20ID,2,0.7534114122390747
11,bpi13_incidents,0,0.6629295945167542
11,bpi13_incidents,1,0.6530049443244934
11,bpi13_incidents,2,0.6623782515525818
11,helpdesk,0,0.8137178421020508
11,helpdesk,1,0.7427903413772583
11,helpdesk,2,0.7692907452583313
11,mimic_transfer,0,0.5937728881835938
11,mimic_transfer,1,0.6007326245307922
11,mimic_transfer,2,0.595604419708252
12,BPI17,0,0.8300334215164185
12,BPI17,1,0.8306601643562317
12,BPI17,2,0.8302153944969177
12,BPI20ID,0,0.743249773979187
12,BPI20ID,1,0.7417981028556824
12,BPI20ID,2,0.7526372075080872
12,bpi13_incidents,0,0.6671567559242249
12,bpi13_incidents,1,0.6656864285469055
12,bpi13_incidents,2,0.6765300631523132
12,helpdesk,0,0.8293063044548035
12,helpdesk,1,0.7614964842796326
12,helpdesk,2,0.7763055562973022
12,mimic_transfer,0,0.6036630272865295
12,mimic_transfer,1,0.605494499206543
12,mimic_transfer,2,0.6036630272865295
13,BPI17,0,0.8047685623168945
13,BPI17,1,0.8073092103004456
13,BPI17,2,0.806466817855835
13,BPI20ID,0,0.7601858377456665
13,BPI20ID,1,0.7762508392333984
13,BPI20ID,2,0.8005419373512268
13,bpi13_incidents,0,0.667708158493042
13,bpi13_incidents,1,0.6607241034507751
13,bpi13_incidents,2,0.6539239287376404
13,helpdesk,0,0.8222914934158325
13,helpdesk,1,0.7575993537902832
13,helpdesk,2,0.784879207611084
13,mimic_transfer,0,0.6036630272865295
13,mimic_transfer,1,0.6003662943840027
13,mimic_transfer,2,0.5985348224639893
14,BPI17,0,0.8205717206001282
14,BPI17,1,0.821117639541626
14,BPI17,2,0.8199247717857361
14,BPI20ID,0,0.7398625612258911
14,BPI20ID,1,0.7321203947067261
14,BPI20ID,2,0.7421852350234985
14,bpi13_incidents,0,0.6530049443244934
14,bpi13_incidents,1,0.6482264399528503
14,bpi13_incidents,2,0.6392207145690918
14,helpdesk,0,0.7474668622016907
14,helpdesk,1,0.7763055562973022
14,helpdesk,2,0.7934528589248657
14,mimic_transfer,0,0.6124542355537415
14,mimic_transfer,1,0.6139194369316101
14,mimic_transfer,2,0.6131868362426758
15,BPI17,0,0.8036026954650879
15,BPI17,1,0.8036903142929077
15,BPI17,2,0.8025042414665222
15,BPI20ID,0,0.7574760317802429
15,BPI20ID,1,0.7428627014160156
15,BPI20ID,2,0.751282274723053
15,bpi13_incidents,0,0.6618268489837646
15,bpi13_incidents,1,0.6645837426185608
15,bpi13_incidents,2,0.6982172131538391
15,helpdesk,0,0.7700701355934143
15,helpdesk,1,0.7653936147689819
15,helpdesk,2,0.7692907452583313
15,mimic_transfer,0,0.6058608293533325
15,mimic_transfer,1,0.6073260307312012
15,mimic_transfer,2,0.6021978259086609
