log,arm,task,n_labels,n_train_samples,seed,value,run
BPI17,gin15_s1,remaining_time,all,20446,2,7.066689968109131,2026-09-07T19:03:13
BPI17,gin15_s2,future_activity_set,all,20446,0,0.7634553909301758,2026-09-07T19:33:04
BPI17,gin15_s2,future_activity_set,all,20446,1,0.7654242515563965,2026-09-07T19:42:53
BPI17,gin15_s2,future_activity_set,all,20446,2,0.7487279772758484,2026-09-07T19:49:51
BPI17,gin15_s2,next_3_activities,all,20446,0,0.7248309254646301,2026-09-07T19:33:04
BPI17,gin15_s2,next_3_activities,all,20446,1,0.7241387963294983,2026-09-07T19:42:53
BPI17,gin15_s2,next_3_activities,all,20446,2,0.7264118790626526,2026-09-07T19:49:51
BPI17,gin15_s2,next_5_activities,all,20446,0,0.6630722284317017,2026-09-07T19:33:04
BPI17,gin15_s2,next_5_activities,all,20446,1,0.6576405167579651,2026-09-07T19:42:53
BPI17,gin15_s2,next_5_activities,all,20446,2,0.6628387570381165,2026-09-07T19:49:51
BPI17,gin15_s2,next_activity,all,20446,0,0.8137720227241516,2026-09-07T19:33:04
BPI17,gin15_s2,next_activity,all,20446,1,0.8161913156509399,2026-09-07T19:42:53
BPI17,gin15_s2,next_activity,all,20446,2,0.8155848383903503,2026-09-07T19:49:51
BPI17,gin15_s2,next_time,all,20446,0,0.5912081003189087,2026-09-07T19:33:04
BPI17,gin15_s2,next_time,all,20446,1,0.5911899209022522,2026-09-07T19:42:53
BPI17,gin15_s2,next_time,all,20446,2,0.5797156095504761,2026-09-07T19:49:51
BPI17,gin15_s2,remaining_count,all,20446,0,8.16561508178711,2026-09-07T19:33:04
BPI17,gin15_s2,remaining_count,all,20446,1,8.093300819396973,2026-09-07T19:42:53
BPI17,gin15_s2,remaining_count,all,20446,2,8.121188163757324,2026-09-07T19:49:51
BPI17,gin15_s2,remaining_time,all,20446,0,7.026691436767578,2026-09-07T19:33:04
BPI17,gin15_s2,remaining_time,all,20446,1,7.297799587249756,2026-09-07T19:42:53
BPI17,gin15_s2,remaining_time,all,20446,2,7.184762954711914,2026-09-07T19:49:51
BPI17,latent0,future_activity_set,all,20446,0,0.7600947022438049,2026-09-06T22:37:26
BPI17,latent0,future_activity_set,all,20446,1,0.7644477486610413,2026-09-06T22:36:55
BPI17,latent0,future_activity_set,all,20446,2,0.7390882968902588,2026-09-06T22:55:44
BPI17,latent0,next_3_activities,all,20446,0,0.7136693596839905,2026-09-06T22:37:26
BPI17,latent0,next_3_activities,all,20446,1,0.711921751499176,2026-09-06T22:36:55
BPI17,latent0,next_3_activities,all,20446,2,0.7138082385063171,2026-09-06T22:55:44
BPI17,latent0,next_5_activities,all,20446,0,0.6551796197891235,2026-09-06T22:37:26
BPI17,latent0,next_5_activities,all,20446,1,0.6485962271690369,2026-09-06T22:36:55
BPI17,latent0,next_5_activities,all,20446,2,0.6535037159919739,2026-09-06T22:55:44
BPI17,latent0,next_activity,all,20446,0,0.8016079664230347,2026-09-06T22:37:26
BPI17,latent0,next_activity,all,20446,1,0.7971264719963074,2026-09-06T22:36:55
BPI17,latent0,next_activity,all,20446,2,0.800563395023346,2026-09-06T22:55:44
BPI17,latent0,next_time,all,20446,0,0.5861517190933228,2026-09-06T22:37:26
BPI17,latent0,next_time,all,20446,1,0.5786967277526855,2026-09-06T22:36:55
BPI17,latent0,next_time,all,20446,2,0.5758053064346313,2026-09-06T22:55:44
BPI17,latent0,remaining_count,all,20446,0,8.14990234375,2026-09-06T22:37:26
BPI17,latent0,remaining_count,all,20446,1,8.119732856750488,2026-09-06T22:36:55
BPI17,latent0,remaining_count,all,20446,2,8.14539623260498,2026-09-06T22:55:44
BPI17,latent0,remaining_time,all,20446,0,7.0344743728637695,2026-09-06T22:37:26
BPI17,latent0,remaining_time,all,20446,1,7.2001471519470215,2026-09-06T22:36:55
BPI17,latent0,remaining_time,all,20446,2,6.983383655548096,2026-09-06T22:55:44
BPI17,latent0_s1,future_activity_set,all,20446,0,0.7675400376319885,2026-09-07T18:44:52
BPI17,latent0_s1,future_activity_set,all,20446,1,0.7687510848045349,2026-09-07T18:42:39
BPI17,latent0_s1,future_activity_set,all,20446,2,0.772515594959259,2026-09-07T19:00:22
BPI17,latent0_s1,next_3_activities,all,20446,0,0.711227297782898,2026-09-07T18:44:52
BPI17,latent0_s1,next_3_activities,all,20446,1,0.7114958167076111,2026-09-07T18:42:39
BPI17,latent0_s1,next_3_activities,all,20446,2,0.7120906710624695,2026-09-07T19:00:22
BPI17,latent0_s1,next_5_activities,all,20446,0,0.6540494561195374,2026-09-07T18:44:52
BPI17,latent0_s1,next_5_activities,all,20446,1,0.6497521996498108,2026-09-07T18:42:39
BPI17,latent0_s1,next_5_activities,all,20446,2,0.6533747911453247,2026-09-07T19:00:22
BPI17,latent0_s1,next_activity,all,20446,0,0.8075315952301025,2026-09-07T18:44:52
BPI17,latent0_s1,next_activity,all,20446,1,0.8073631525039673,2026-09-07T18:42:39
BPI17,latent0_s1,next_activity,all,20446,2,0.8081044554710388,2026-09-07T19:00:22
BPI17,latent0_s1,next_time,all,20446,0,0.5907040238380432,2026-09-07T18:44:52
BPI17,latent0_s1,next_time,all,20446,1,0.5909423828125,2026-09-07T18:42:39
BPI17,latent0_s1,next_time,all,20446,2,0.5908921957015991,2026-09-07T19:00:22
BPI17,latent0_s1,remaining_count,all,20446,0,8.106450080871582,2026-09-07T18:44:52
BPI17,latent0_s1,remaining_count,all,20446,1,8.099865913391113,2026-09-07T18:42:39
BPI17,latent0_s1,remaining_count,all,20446,2,8.12328052520752,2026-09-07T19:00:22
BPI17,latent0_s1,remaining_time,all,20446,0,7.117942810058594,2026-09-07T18:44:52
BPI17,latent0_s1,remaining_time,all,20446,1,7.211963176727295,2026-09-07T18:42:39
BPI17,latent0_s1,remaining_time,all,20446,2,7.414665222167969,2026-09-07T19:00:22
BPI17,latent0_s2,future_activity_set,all,20446,0,0.7635423541069031,2026-09-07T19:57:56
BPI17,latent0_s2,future_activity_set,all,20446,1,0.7653557658195496,2026-09-07T19:50:23
BPI17,latent0_s2,future_activity_set,all,20446,2,0.7695390582084656,2026-09-07T20:05:09
BPI17,latent0_s2,next_3_activities,all,20446,0,0.7128869891166687,2026-09-07T19:57:56
BPI17,latent0_s2,next_3_activities,all,20446,1,0.7119263410568237,2026-09-07T19:50:23
BPI17,latent0_s2,next_3_activities,all,20446,2,0.7123198509216309,2026-09-07T20:05:09
BPI17,latent0_s2,next_5_activities,all,20446,0,0.6562252640724182,2026-09-07T19:57:56
